periodo,periodo_dt,anio,mes,banco_estandarizado,activos_totales,pasivos_totales,patrimonio,morosidad,solvencia_proxy,roe,roe_real,roe_estimado,error_roe,error_abs_roe
2009-04,2009-04-01,2009,4,AMAZONAS,115.09,103.46,11.38,4.53,8.24,6.75,6.75,6.944687550505051,-0.19468755050505138,0.19468755050505138
2009-04,2009-04-01,2009,4,AUSTRO,634.34,572.63,56.66,7.22,7.79,26.72,26.72,22.48350284872536,4.236497151274637,4.236497151274637
2009-04,2009-04-01,2009,4,BOLIVARIANO,1246.04,1133.56,107.46,1.39,7.56,13.73,13.73,13.765494636567146,-0.03549463656714558,0.03549463656714558
2009-04,2009-04-01,2009,4,CAPITAL,57.2,45.1,11.72,10.32,17.81,9.73,9.73,14.787359246031755,-5.057359246031755,5.057359246031755
2009-04,2009-04-01,2009,4,CITIBANK,267.06,236.61,28.96,6.32,9.4,15.48,15.48,20.16780702667702,-4.687807026677021,4.687807026677021
2009-04,2009-04-01,2009,4,COFIEC,12.18,3.62,8.42,24.5,51.76,4.87,4.87,6.478142050264546,-1.6081420502645463,1.6081420502645463
2009-04,2009-04-01,2009,4,COMERCIAL DE MANABI,30.39,23.77,6.58,4.15,16.0,2.24,2.24,4.550383970658973,-2.3103839706589726,2.3103839706589726
2009-04,2009-04-01,2009,4,DELBANK,17.53,10.15,7.34,3.59,28.71,1.57,1.57,25.12203737410738,-23.55203737410738,23.55203737410738
2009-04,2009-04-01,2009,4,FINCA,37.59,27.18,10.26,12.49,23.98,4.38,4.38,4.347788663281164,0.03221133671883614,0.03221133671883614
2009-04,2009-04-01,2009,4,GENERAL RUMIÑAHUI,345.03,321.71,21.5,4.19,5.19,25.37,25.37,21.34294646945647,4.0270535305435295,4.0270535305435295
2009-04,2009-04-01,2009,4,GUAYAQUIL,2241.37,2066.16,164.44,2.53,6.33,19.29,19.29,19.672164784567286,-0.3821647845672871,0.3821647845672871
2009-04,2009-04-01,2009,4,INTERNACIONAL,1231.71,1111.03,116.13,2.52,8.22,11.75,11.75,11.627473606671108,0.12252639332889181,0.12252639332889181
2009-04,2009-04-01,2009,4,LITORAL,22.39,18.74,3.54,5.8,12.33,9.56,9.56,7.016307405002402,2.543692594997599,2.543692594997599
2009-04,2009-04-01,2009,4,LLOYDS BANK,193.17,169.77,22.71,0.73,10.6,8.67,8.67,8.698677426647428,-0.02867742664742856,0.02867742664742856
2009-04,2009-04-01,2009,4,LOJA,191.05,170.9,18.91,3.83,8.05,19.61,19.61,20.513953848003865,-0.9039538480038658,0.9039538480038658
2009-04,2009-04-01,2009,4,MACHALA,337.35,304.65,32.02,3.56,7.8,6.32,6.32,8.265016259018758,-1.9450162590187574,1.9450162590187574
2009-04,2009-04-01,2009,4,MM JARAMILLO ARTEAGA,460.75,426.78,33.19,2.43,6.62,7.08,7.08,8.452437009379512,-1.372437009379512,1.372437009379512
2009-04,2009-04-01,2009,4,PACIFICO,1706.17,1423.64,269.03,4.09,14.11,15.04,15.04,14.28212669404671,0.7578733059532894,0.7578733059532894
2009-04,2009-04-01,2009,4,PICHINCHA,4427.24,3958.52,450.97,3.44,8.96,11.67,11.67,11.64600353803604,0.02399646196396077,0.02399646196396077
2009-04,2009-04-01,2009,4,PROCREDIT,291.92,254.36,36.12,3.28,11.06,12.02,12.02,11.078403886483878,0.9415961135161215,0.9415961135161215
2009-04,2009-04-01,2009,4,PRODUBANCO,1504.41,1350.69,148.77,1.2,9.05,9.72,9.72,10.140909565249556,-0.4209095652495556,0.4209095652495556
2009-04,2009-04-01,2009,4,SOLIDARIO,303.82,265.95,37.45,10.75,9.38,3.35,3.35,8.643240361860359,-5.293240361860359,5.293240361860359
2009-04,2009-04-01,2009,4,SUDAMERICANO,8.48,2.41,6.07,9.47,49.71,39.4,39.4,31.33310137390385,8.066898626096147,8.066898626096147
2009-04,2009-04-01,2009,4,TERRITORIAL,113.55,104.05,8.19,9.55,5.54,48.28,48.28,44.11333373136121,4.166666268638792,4.166666268638792
2009-04,2009-04-01,2009,4,UNIBANCO,248.96,198.92,48.46,10.24,16.41,9.84,9.84,12.592779122174125,-2.7527791221741253,2.7527791221741253
2009-05,2009-05-01,2009,5,AMAZONAS,115.35,103.65,11.38,3.06,8.18,6.53,6.53,6.028321985329483,0.5016780146705173,0.5016780146705173
2009-05,2009-05-01,2009,5,AUSTRO,631.92,568.93,56.37,7.2,7.77,28.05,28.05,24.306452610630117,3.7435473893698834,3.7435473893698834
