archivo_origen,archivo_nombre,extension,periodo,fecha_corte,celda_fecha,valor_fecha_original,hoja_balance,metodo_balance,hojas_indicadores,estado,detalle
00_datos_crudos\BOL_MENSUAL_BPRIVADA_JUN_2021_web2.xlsx,BOL_MENSUAL_BPRIVADA_JUN_2021_web2.xlsx,.xlsx,2021-06,2021-06-30,B4,2021-06-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BOL_MENSUAL_BPRIVADA_MAY_2021_web2.xlsx,BOL_MENSUAL_BPRIVADA_MAY_2021_web2.xlsx,.xlsx,2021-05,2021-05-31,B4,2021-05-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BP_BOL_2009_02 rectificado.xls,BP_BOL_2009_02 rectificado.xls,.xls,2009-02,2009-02-28,B4,2009-02-28 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 144
00_datos_crudos\BP_BOL_2008_01 con informaciÓ©én reprocesada 06 ene 10.xls,BP_BOL_2008_01 con informaciÓ©én reprocesada 06 ene 10.xls,.xls,2009-01,2009-01-31,B4,2009-01-31 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 150
00_datos_crudos\BOLETIN BANCOS NOVIEMBRE 2022.xlsx,BOLETIN BANCOS NOVIEMBRE 2022.xlsx,.xlsx,2022-11,2022-11-30,B4,30/11/2022,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BOL_MENSUAL_BPRIVADA_SEP_2021_web3.xlsx,BOL_MENSUAL_BPRIVADA_SEP_2021_web3.xlsx,.xlsx,2021-09,2021-09-30,B4,2021-09-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BOL_MENSUAL_BPRIVADA_OCT_2021_web3.xlsx,BOL_MENSUAL_BPRIVADA_OCT_2021_web3.xlsx,.xlsx,2021-10,2021-10-31,B4,2021-10-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BoletÔÇØn mensual BP Julio 2017.xlsx,BoletÔÇØn mensual BP Julio 2017.xlsx,.xlsx,2017-07,2017-07-31,B4,2017-07-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_05_rev.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2022_05_rev.xlsx,.xlsx,2022-05,2022-05-31,B4,31/05/2022,BALANCE,nombre_balance,"INDICADORES, INDICADORES v",ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_06.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2022_06.xlsx,.xlsx,2022-06,2022-06-30,B4,30/06/2022,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_08.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2022_08.xlsx,.xlsx,2022-08,2022-08-31,B4,31/08/2022,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_04.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2022_04.xlsx,.xlsx,2022-04,2022-04-30,B4,30/04/2022,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_02.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2022_02.xlsx,.xlsx,2022-02,2022-02-28,B4,28/02/2022,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 120
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_07.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2022_07.xlsx,.xlsx,2022-07,2022-07-31,B4,31/07/2022,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_09.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2022_09.xlsx,.xlsx,2022-09,2022-09-30,B4,30/09/2022,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_10.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2022_10.xlsx,.xlsx,2022-10,2022-10-31,B4,31/10/2022,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_01.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_01.xlsx,.xlsx,2023-01,2023-01-31,B4,31/01/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_12.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2022_12.xlsx,.xlsx,2022-12,2022-12-31,B4,31/12/2022,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_02.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_02.xlsx,.xlsx,2023-02,2023-02-28,B4,28/02/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_03.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_03.xlsx,.xlsx,2023-03,2023-03-31,B4,31/03/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_04.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_04.xlsx,.xlsx,2023-04,2023-04-30,B4,30/04/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_05.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_05.xlsx,.xlsx,2023-05,2023-05-31,B4,31/05/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_06.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_06.xlsx,.xlsx,2023-06,2023-06-30,B4,30/06/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_07.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_07.xlsx,.xlsx,2023-07,2023-07-31,B4,31/07/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_08.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_08.xlsx,.xlsx,2023-08,2023-08-31,B4,31/08/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_10.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_10.xlsx,.xlsx,2023-10,2023-10-31,B4,31/10/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_09.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_09.xlsx,.xlsx,2023-09,2023-09-30,B4,30/09/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_11.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_11.xlsx,.xlsx,2023-11,2023-11-30,B4,30/11/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_12.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2023_12.xlsx,.xlsx,2023-12,2023-12-31,B4,31/12/2023,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_02.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_02.xlsx,.xlsx,2024-02,2024-02-29,B4,29/02/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_05.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_05.xlsx,.xlsx,2024-05,2024-05-31,B4,31/05/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_01.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_01.xlsx,.xlsx,2024-01,2024-01-31,B4,31/01/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_03.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_03.xlsx,.xlsx,2024-03,2024-03-31,B4,31/03/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_04.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_04.xlsx,.xlsx,2024-04,2024-04-30,B4,30/04/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_07.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_07.xlsx,.xlsx,2024-07,2024-07-31,B4,31/07/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_06.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_06.xlsx,.xlsx,2024-06,2024-06-30,B4,30/06/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_08.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_08.xlsx,.xlsx,2024-08,2024-08-31,B4,31/08/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_09.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_09.xlsx,.xlsx,2024-09,2024-09-30,B4,30/09/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_10.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_10.xlsx,.xlsx,2024-10,2024-10-31,B4,31/10/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
