archivo_origen,periodo,indicador,estado,detalle,hoja,celda,candidatos
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_02.xlsx,2023-02,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_02.xlsx,2023-02,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_03.xlsx,2023-03,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_03.xlsx,2023-03,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_03.xlsx,2023-03,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_03.xlsx,2023-03,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_04.xlsx,2023-04,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_04.xlsx,2023-04,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_04.xlsx,2023-04,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_04.xlsx,2023-04,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_05.xlsx,2023-05,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_05.xlsx,2023-05,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_05.xlsx,2023-05,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_05.xlsx,2023-05,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_06.xlsx,2023-06,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_06.xlsx,2023-06,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_06.xlsx,2023-06,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_06.xlsx,2023-06,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_07.xlsx,2023-07,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_07.xlsx,2023-07,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_07.xlsx,2023-07,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_07.xlsx,2023-07,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_08.xlsx,2023-08,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_08.xlsx,2023-08,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_08.xlsx,2023-08,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_08.xlsx,2023-08,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_09.xlsx,2023-09,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
