periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2009-01,PACIFICO,activos_totales,1734.25,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,1091.0152,169.6138330824141
2009-01,PACIFICO,morosidad,2.98,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-2.5836,-46.43755841541448
2009-01,PACIFICO,pasivos_totales,1462.2,millones_usd,informativo,2009-01-01,574.6976,252.1,25,887.5024000000001,154.42945994554356
2009-01,PACIFICO,patrimonio,269.03,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,201.18919999999997,296.56077168901305
2009-01,PACIFICO,roe,13.48,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-0.9895999999999994,-6.839166252004198
2009-01,PACIFICO,solvencia_proxy,14.1,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-0.34800000000000075,-2.408637873754158
2009-01,PICHINCHA,activos_totales,4353.79,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,3710.5552,576.8585903623373
2009-01,PICHINCHA,morosidad,2.37,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-3.1936,-57.40168236393702
2009-01,PICHINCHA,pasivos_totales,3888.59,millones_usd,informativo,2009-01-01,574.6976,252.1,25,3313.8924,576.6323715289573
2009-01,PICHINCHA,patrimonio,460.05,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,392.2092,578.1317437294372
2009-01,PICHINCHA,roe,13.4,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-1.0695999999999994,-7.392049538342452
2009-01,PICHINCHA,solvencia_proxy,9.44,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-5.008000000000001,-34.66223698781839
2009-01,PROCREDIT,activos_totales,288.57,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-354.66479999999996,-55.13768844596094
2009-01,PROCREDIT,morosidad,2.24,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-3.3236,-59.73829894313034
2009-01,PROCREDIT,pasivos_totales,252.1,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-322.59759999999994,-56.133451749232975
2009-01,PROCREDIT,patrimonio,36.12,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-31.720800000000004,-46.75770332897019
2009-01,PROCREDIT,roe,11.64,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-2.8295999999999992,-19.55548183778404
2009-01,PROCREDIT,solvencia_proxy,11.58,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-2.8680000000000003,-19.850498338870434
