periodo,indicador,promedio_sistema,mediana_sistema,bancos_con_dato
2017-08,morosidad,7.545833333333333,5.1899999999999995,24
2017-08,pasivos_totales,1372.215,444.31,24
2017-08,patrimonio,158.49958333333333,53.32,24
2017-08,roe,7.26125,6.955,24
2017-08,solvencia_proxy,13.260833333333332,10.685,24
2017-09,activos_totales,1533.082916666667,498.53,24
2017-09,morosidad,6.489166666666667,5.07,24
2017-09,pasivos_totales,1362.015,436.635,24
2017-09,patrimonio,158.73875,53.295,24
2017-09,roe,11.022916666666667,8.455,24
2017-09,solvencia_proxy,13.342916666666667,11.14,24
2017-10,activos_totales,1550.962083333333,507.78999999999996,24
2017-10,morosidad,6.23875,4.42,24
2017-10,pasivos_totales,1378.5654166666666,445.265,24
2017-10,patrimonio,158.79749999999999,53.315,24
2017-10,roe,7.18625,8.22,24
2017-10,solvencia_proxy,13.140833333333333,10.955,24
2017-11,activos_totales,1580.6783333333333,538.325,24
2017-11,morosidad,6.220833333333332,4.385,24
2017-11,pasivos_totales,1407.01375,475.49,24
2017-11,patrimonio,158.84083333333334,53.35,24
2017-11,roe,9.90625,9.21,24
2017-11,solvencia_proxy,13.1825,10.405000000000001,24
2017-12,activos_totales,1623.95625,544.87,24
2017-12,morosidad,9.460833333333333,4.29,24
2017-12,pasivos_totales,1448.2212499999998,480.65999999999997,24
2017-12,patrimonio,175.73458333333335,57.78,24
2017-12,roe,12.08,10.530000000000001,24
2017-12,solvencia_proxy,13.012083333333335,10.350000000000001,24
2018-01,activos_totales,1605.1833333333334,545.505,24
2018-01,morosidad,10.117083333333333,4.615,24
2018-01,pasivos_totales,1427.9841666666669,480.91499999999996,24
2018-01,patrimonio,175.56916666666666,57.805,24
2018-01,roe,14.657916666666667,10.75,24
2018-01,solvencia_proxy,13.727083333333333,10.375,24
2018-02,activos_totales,1617.505,529.235,24
2018-02,morosidad,7.142083333333333,4.395,24
2018-02,pasivos_totales,1439.944166666667,464.625,24
2018-02,patrimonio,174.45458333333332,57.795,24
2018-02,roe,11.979999999999999,9.975000000000001,24
2018-02,solvencia_proxy,13.725,10.405000000000001,24
2018-03,activos_totales,1639.3412499999997,547.44,24
2018-03,morosidad,7.855833333333333,4.34,24
2018-03,pasivos_totales,1463.5454166666668,483.65,24
2018-03,patrimonio,171.07416666666666,57.825,24
2018-03,roe,14.067916666666667,10.489999999999998,24
2018-03,solvencia_proxy,13.350833333333334,9.885,24
2018-04,activos_totales,1629.9579166666665,532.475,24
2018-04,morosidad,7.493333333333333,4.37,24
2018-04,pasivos_totales,1453.4016666666666,468.94,24
2018-04,patrimonio,170.1475,57.81,24
2018-04,roe,13.316250000000002,10.364999999999998,24
2018-04,solvencia_proxy,13.525,10.125,24
2018-05,activos_totales,1615.91125,519.21,24
2018-05,morosidad,11.549999999999999,4.4399999999999995,24
2018-05,pasivos_totales,1437.6608333333334,456.145,24
2018-05,patrimonio,169.6875,57.305,24
2018-05,roe,9.716666666666667,10.43,24
2018-05,solvencia_proxy,13.684583333333334,10.344999999999999,24
2018-06,activos_totales,1626.7129166666666,544.46,24
2018-06,morosidad,11.099583333333333,3.9450000000000003,24
2018-06,pasivos_totales,1446.6754166666667,483.18000000000006,24
2018-06,patrimonio,169.41958333333335,57.33,24
2018-06,roe,10.564166666666667,11.84,24
2018-06,solvencia_proxy,13.557916666666666,9.844999999999999,24
2018-07,activos_totales,1631.43625,553.4649999999999,24
2018-07,morosidad,11.229999999999999,4.21,24
2018-07,pasivos_totales,1449.0695833333332,490.04499999999996,24
2018-07,patrimonio,169.60125,57.365,24
2018-07,roe,13.475416666666668,12.555,24
2018-07,solvencia_proxy,13.62625,9.635000000000002,24
2018-08,activos_totales,1638.0354166666666,546.75,24
2018-08,morosidad,11.158333333333333,4.050000000000001,24
2018-08,pasivos_totales,1453.524583333333,483.245,24
2018-08,patrimonio,169.50041666666667,57.35,24
2018-08,roe,12.16125,13.190000000000001,24
2018-08,solvencia_proxy,13.664166666666667,9.665,24
2018-09,activos_totales,1639.8345833333333,553.855,24
2018-09,morosidad,7.19125,3.9450000000000003,24
