periodo,banco_estandarizado,indicador,valor,unidad,sentido
2015-03,CAPITAL,solvencia_proxy,9.46,porcentaje,mayor_es_mejor
2015-03,CITIBANK,activos_totales,597.03,millones_usd,mayor_es_tamano
2015-03,CITIBANK,morosidad,0.04,porcentaje,menor_es_mejor
2015-03,CITIBANK,pasivos_totales,539.46,millones_usd,informativo
2015-03,CITIBANK,patrimonio,56.41,millones_usd,mayor_es_mejor
2015-03,CITIBANK,roe,8.22,porcentaje,mayor_es_mejor
2015-03,CITIBANK,solvencia_proxy,8.42,porcentaje,mayor_es_mejor
2015-03,COFIEC,activos_totales,19.92,millones_usd,mayor_es_tamano
2015-03,COFIEC,morosidad,60.43,porcentaje,menor_es_mejor
2015-03,COFIEC,pasivos_totales,14.6,millones_usd,informativo
2015-03,COFIEC,patrimonio,5.7,millones_usd,mayor_es_mejor
2015-03,COFIEC,roe,-26.5,porcentaje,mayor_es_mejor
2015-03,COFIEC,solvencia_proxy,16.33,porcentaje,mayor_es_mejor
2015-03,COMERCIAL DE MANABI,activos_totales,48.73,millones_usd,mayor_es_tamano
2015-03,COMERCIAL DE MANABI,morosidad,5.41,porcentaje,menor_es_mejor
2015-03,COMERCIAL DE MANABI,pasivos_totales,40.87,millones_usd,informativo
2015-03,COMERCIAL DE MANABI,patrimonio,7.85,millones_usd,mayor_es_mejor
2015-03,COMERCIAL DE MANABI,roe,51.15,porcentaje,mayor_es_mejor
2015-03,COMERCIAL DE MANABI,solvencia_proxy,12.47,porcentaje,mayor_es_mejor
2015-03,COOPNACIONAL,activos_totales,178.51,millones_usd,mayor_es_tamano
2015-03,COOPNACIONAL,morosidad,44.01,porcentaje,menor_es_mejor
2015-03,COOPNACIONAL,pasivos_totales,154.68,millones_usd,informativo
2015-03,COOPNACIONAL,patrimonio,23.21,millones_usd,mayor_es_mejor
2015-03,COOPNACIONAL,roe,10.61,porcentaje,mayor_es_mejor
2015-03,COOPNACIONAL,solvencia_proxy,12.68,porcentaje,mayor_es_mejor
2015-03,D-MIRO,activos_totales,92.23,millones_usd,mayor_es_tamano
2015-03,D-MIRO,morosidad,5.71,porcentaje,menor_es_mejor
2015-03,D-MIRO,pasivos_totales,78.19,millones_usd,informativo
2015-03,D-MIRO,patrimonio,13.61,millones_usd,mayor_es_mejor
2015-03,D-MIRO,roe,12.7,porcentaje,mayor_es_mejor
2015-03,D-MIRO,solvencia_proxy,14.44,porcentaje,mayor_es_mejor
2015-03,DELBANK,activos_totales,26.41,millones_usd,mayor_es_tamano
2015-03,DELBANK,morosidad,6.62,porcentaje,menor_es_mejor
2015-03,DELBANK,pasivos_totales,15.45,millones_usd,informativo
2015-03,DELBANK,patrimonio,10.94,millones_usd,mayor_es_mejor
2015-03,DELBANK,roe,74.4,porcentaje,mayor_es_mejor
2015-03,DELBANK,solvencia_proxy,35.73,porcentaje,mayor_es_mejor
2015-03,DESARROLLO DE LOS PUEBLOS S.A,activos_totales,122.06,millones_usd,mayor_es_tamano
2015-03,DESARROLLO DE LOS PUEBLOS S.A,morosidad,5.88,porcentaje,menor_es_mejor
2015-03,DESARROLLO DE LOS PUEBLOS S.A,pasivos_totales,109.38,millones_usd,informativo
2015-03,DESARROLLO DE LOS PUEBLOS S.A,patrimonio,12.2,millones_usd,mayor_es_mejor
2015-03,DESARROLLO DE LOS PUEBLOS S.A,roe,15.85,porcentaje,mayor_es_mejor
2015-03,DESARROLLO DE LOS PUEBLOS S.A,solvencia_proxy,9.3,porcentaje,mayor_es_mejor
2015-03,FINCA,activos_totales,50.14,millones_usd,mayor_es_tamano
2015-03,FINCA,morosidad,6.43,porcentaje,menor_es_mejor
2015-03,FINCA,pasivos_totales,41.29,millones_usd,informativo
2015-03,FINCA,patrimonio,9.44,millones_usd,mayor_es_mejor
2015-03,FINCA,roe,-24.86,porcentaje,mayor_es_mejor
2015-03,FINCA,solvencia_proxy,14.66,porcentaje,mayor_es_mejor
2015-03,GENERAL RUMIÑAHUI,activos_totales,619.63,millones_usd,mayor_es_tamano
2015-03,GENERAL RUMIÑAHUI,morosidad,2.25,porcentaje,menor_es_mejor
2015-03,GENERAL RUMIÑAHUI,pasivos_totales,571.48,millones_usd,informativo
2015-03,GENERAL RUMIÑAHUI,patrimonio,45.82,millones_usd,mayor_es_mejor
2015-03,GENERAL RUMIÑAHUI,roe,20.33,porcentaje,mayor_es_mejor
2015-03,GENERAL RUMIÑAHUI,solvencia_proxy,7.05,porcentaje,mayor_es_mejor
2015-03,GUAYAQUIL,activos_totales,3966.71,millones_usd,mayor_es_tamano
2015-03,GUAYAQUIL,morosidad,2.93,porcentaje,menor_es_mejor
2015-03,GUAYAQUIL,pasivos_totales,3588.13,millones_usd,informativo
2015-03,GUAYAQUIL,patrimonio,367.44,millones_usd,mayor_es_mejor
2015-03,GUAYAQUIL,roe,11.75,porcentaje,mayor_es_mejor
2015-03,GUAYAQUIL,solvencia_proxy,8.32,porcentaje,mayor_es_mejor
2015-03,INTERNACIONAL,activos_totales,2650.89,millones_usd,mayor_es_tamano
2015-03,INTERNACIONAL,morosidad,1.57,porcentaje,menor_es_mejor
2015-03,INTERNACIONAL,pasivos_totales,2421.84,millones_usd,informativo
2015-03,INTERNACIONAL,patrimonio,221.83,millones_usd,mayor_es_mejor
2015-03,INTERNACIONAL,roe,12.64,porcentaje,mayor_es_mejor
2015-03,INTERNACIONAL,solvencia_proxy,7.36,porcentaje,mayor_es_mejor
2015-03,LITORAL,activos_totales,23.59,millones_usd,mayor_es_tamano
2015-03,LITORAL,morosidad,9.7,porcentaje,menor_es_mejor
2015-03,LITORAL,pasivos_totales,19.47,millones_usd,informativo
